id,category,email_subject,email_body,ideal_reply
11,claim,"Home water damage","Our bathroom pipe burst last night and flooded the downstairs. We've turned off the water and called a plumber. What do I need to do to claim for the damage?","Dear [Customer Name],\n\nThank you for contacting us and I am very sorry to hear about the flood damage to your home. I hope the situation is now under control.\n\nTo start your claim, please call our emergency claims line on [number] or log into your online portal. You will need your policy number, details of what happened, and photos of the damage if possible. Our team can arrange for a loss adjuster to assess the damage and may be able to recommend approved contractors for repairs.\n\nPlease keep all receipts for any emergency repairs or temporary accommodation if you need to move out while work is carried out, as these costs may be recoverable under your policy.\n\nKind regards,\n[Agent Name]\nClaims Team"
12,claim,"Theft from vehicle","Someone broke into my car overnight and stole my laptop and bag. I've reported it to the police. Does my car insurance cover personal items stolen from the vehicle?","Dear [Customer Name],\n\nThank you for getting in touch and I am sorry to hear about the theft from your vehicle. \n\nUnfortunately, most motor insurance policies do not cover personal belongings stolen from inside the vehicle—these items would typically be covered under your home contents insurance instead. However, I would recommend checking your policy documents or contacting us so we can review your specific cover.\n\nIf your vehicle itself was damaged during the break-in (for example, a broken window), this may be covered under your comprehensive motor policy, subject to your excess.\n\nKind regards,\n[Agent Name]\nClaims Team"
13,claim,"Storm damage to fence","Last week's storm damaged my garden fence and part of the shed roof. Are these covered under my home insurance?","Dear [Customer Name],\n\nThank you for your email. I am sorry to hear that your property was damaged in the recent storm.\n\nMost home insurance policies include cover for storm damage to fences, gates and outbuildings such as sheds, subject to your policy terms and excess. To proceed with a claim, please contact our claims team with photos of the damage and an estimate for repairs if you have one.\n\nOur team will review your policy and confirm whether the damage is covered and arrange for an assessment if needed.\n\nKind regards,\n[Agent Name]\nCustomer Services"
14,claim,"Hit and run damage","My parked car was hit by another vehicle last night. The other driver didn't leave any details. I have photos and a witness who saw it happen. How do I claim?","Dear [Customer Name],\n\nThank you for contacting us and I am sorry to hear about the damage to your vehicle.\n\nAs this was a hit and run incident, you should report it to the police if you have not already done so. Please then contact our claims team with your policy number, the police reference number, photos of the damage, and the witness details.\n\nIf you have comprehensive cover, we can arrange repairs through one of our approved repairers. Your excess will apply, and the claim may affect your no claims discount unless you have protected it.\n\nKind regards,\n[Agent Name]\nClaims Team"
15,complaint,"Claim taking too long","I submitted a claim three weeks ago and still haven't heard anything. This is unacceptable. I need an update immediately.","Dear [Customer Name],\n\nThank you for your email and I sincerely apologise for the delay in progressing your claim. I understand how frustrating this must be, especially when you are waiting for a resolution.\n\nI have escalated your claim to a senior handler and asked them to contact you within the next 48 hours with a full update on the status and next steps. We will also review what caused the delay to ensure it does not happen again.\n\nIf you do not hear from us within two working days, please contact me directly and I will follow up personally.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
16,complaint,"Excess too high","I've just been told my excess is £500, but when I bought the policy I was quoted £250. Someone has made a mistake and I want this corrected.","Dear [Customer Name],\n\nThank you for getting in touch and I am sorry to hear there is confusion about your policy excess.\n\nI have reviewed your policy documents and your original quote to understand what happened. If there was an error in the information provided to you at the point of sale, we will of course put this right and adjust your excess and premium accordingly.\n\nA member of our team will contact you within two working days to discuss the findings and confirm the correct excess amount. We take these matters seriously and I apologise for any inconvenience caused.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
17,complaint,"Poor customer service","I called three times this week and was passed between different people. No one could answer my question and I was left on hold for over 30 minutes. This is appalling service.","Dear [Customer Name],\n\nThank you for taking the time to share your feedback and I am very sorry to hear about your recent experience. This is clearly not the level of service we aim to provide and I can understand your frustration.\n\nI would like to investigate what happened during your calls and ensure your question is answered properly. Please could you let me know what your query was, and I will arrange for the right person to contact you directly? I will also share your feedback with our team leaders so we can improve our processes.\n\nThank you for your patience, and I apologise again for the inconvenience.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
18,complaint,"Cancelled without warning","My policy was cancelled last month and I only found out when I tried to access my documents online. I never received any warning or explanation.","Dear [Customer Name],\n\nThank you for your email and I am very sorry to hear that your policy was cancelled without you being aware.\n\nCancellations can happen for reasons such as missed payments or incorrect information, but we should always notify you in advance and give you an opportunity to resolve the issue. I have asked our team to urgently review your policy history and contact you within 24 hours to explain what happened and discuss whether the policy can be reinstated.\n\nI apologise for the lack of communication and any concern this has caused.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
19,renewal,"Early renewal discount?","My renewal is coming up in two months. If I renew early, will I get a discount?","Dear [Customer Name],\n\nThank you for your email and for thinking ahead about your renewal.\n\nWhile we do not usually offer an early renewal discount, we encourage you to review your renewal quote as soon as you receive it and contact us if you have any questions or would like to discuss your cover. In some cases, we may be able to adjust your policy or offer alternative options that better suit your needs.\n\nYour renewal documents will be sent approximately 21 days before your renewal date.\n\nKind regards,\n[Agent Name]\nCustomer Services"
20,renewal,"Compare renewal price","I've received my renewal quote and it's higher than quotes I've found online with other insurers. Can you match or beat those prices?","Dear [Customer Name],\n\nThank you for your email and for giving us the opportunity to discuss your renewal before you move elsewhere.\n\nInsurance pricing can vary significantly between providers based on many factors. While we cannot always match competitor quotes directly, we would be happy to review your policy and see if there are any adjustments we can make to reduce your premium, such as adjusting your excess or reviewing optional extras.\n\nPlease contact our team and we will do our best to offer you a competitive price.\n\nKind regards,\n[Agent Name]\nCustomer Services"
21,renewal,"Cancel auto-renewal","I no longer want my policy to auto-renew. Please cancel this and confirm in writing.","Dear [Customer Name],\n\nThank you for your email. I can confirm that we have removed the auto-renewal setting from your policy. Your cover will now end at 23:59 on [renewal date] unless you contact us to renew manually.\n\nYou will still receive your renewal quote in advance so you can review it and decide whether to continue your cover with us or arrange alternative insurance.\n\nPlease ensure you have continuous cover in place if your vehicle or property remains in use.\n\nKind regards,\n[Agent Name]\nCustomer Services"
22,renewal,"Renewal documents not received","My policy renews next week but I haven't received any renewal documents. Can you resend them urgently?","Dear [Customer Name],\n\nThank you for getting in touch and I apologise that you have not received your renewal documents.\n\nI have checked your account and can see that your renewal is due on [date]. I will arrange for your documents to be resent to your email address on file immediately. If you do not receive them within one hour, please let me know and I will send them from an alternative address or arrange for a paper copy to be posted.\n\nIf you need to renew urgently, we can also take payment and confirm your renewal over the phone.\n\nKind regards,\n[Agent Name]\nCustomer Services"
23,policy_change,"Change of vehicle","I've sold my car and bought a different one. How do I update my policy and will my premium change?","Dear [Customer Name],\n\nCongratulations on your new vehicle and thank you for letting us know.\n\nTo update your policy, we will need the make, model, registration number, and value of your new vehicle. Once we have this information, we will recalculate your premium based on the new vehicle's risk profile. Depending on the car, your premium may increase, decrease, or stay the same.\n\nThere may also be an administration fee for making a mid-term change, as outlined in your policy documents. Please call us or update your details online, and we will confirm the new premium before applying any changes.\n\nKind regards,\n[Agent Name]\nCustomer Services"
24,policy_change,"Remove named driver","I'd like to remove a named driver from my policy as they no longer use my car. Will this reduce my premium?","Dear [Customer Name],\n\nThank you for your email. We can certainly remove the named driver from your policy.\n\nRemoving a driver may reduce your premium, depending on their age, driving history, and the level of risk they added to the policy. We will recalculate your premium once the change is processed and refund any difference for the remainder of your policy term, minus any applicable administration fee.\n\nPlease confirm the name of the driver you wish to remove and we will arrange this for you.\n\nKind regards,\n[Agent Name]\nCustomer Services"
25,policy_change,"Increase voluntary excess","Can I increase my voluntary excess to lower my monthly premium?","Dear [Customer Name],\n\nThank you for your email. Yes, you can increase your voluntary excess at any time, and this will usually result in a reduction to your premium.\n\nPlease let us know what excess amount you would prefer, and we will recalculate your premium and confirm the new monthly payment. Please note that there may be an administration fee for making this change mid-term.\n\nRemember that if you make a claim, you will need to pay the full excess (compulsory + voluntary) before any payout is made.\n\nKind regards,\n[Agent Name]\nCustomer Services"
26,policy_change,"Change mileage estimate","I originally estimated 8,000 miles per year but I'm now doing much less. Can I reduce this and get a refund?","Dear [Customer Name],\n\nThank you for letting us know about the change in your mileage.\n\nYes, we can update your estimated annual mileage on the policy. If the new mileage is significantly lower, this may reduce your premium, and we will refund the difference for the remaining period of your policy, minus any administration fee.\n\nPlease let us know your revised mileage estimate and we will recalculate your premium and confirm the adjustment.\n\nKind regards,\n[Agent Name]\nCustomer Services"
27,general_query,"Policy documents lost","I've lost my policy documents and need a copy urgently for my MOT. Can you email them to me today?","Dear [Customer Name],\n\nThank you for your email. We can certainly provide a copy of your policy documents.\n\nI have arranged for your full policy schedule and certificate of insurance to be sent to your email address within the next hour. If you do not receive them, please check your spam folder or let us know and we can resend them.\n\nYou can also download your documents at any time by logging into your online account.\n\nKind regards,\n[Agent Name]\nCustomer Services"
28,general_query,"Breakdown cover included?","Does my car insurance include breakdown cover, or do I need to buy that separately?","Dear [Customer Name],\n\nThank you for your enquiry.\n\nMost standard motor insurance policies do not automatically include breakdown cover, although it may be available as an optional extra. I have checked your policy and can confirm whether breakdown cover is included or if you would like to add it.\n\nIf you would like a quote for breakdown cover, please let us know and we can arrange this for you.\n\nKind regards,\n[Agent Name]\nCustomer Services"
29,general_query,"Courtesy car query","If my car needs repairs after an accident, will I get a courtesy car while it's being fixed?","Dear [Customer Name],\n\nThank you for your question.\n\nWhether a courtesy car is provided depends on your level of cover and the circumstances of your claim. If you have comprehensive cover and use one of our approved repairers, a courtesy car is usually available subject to availability. If the accident was not your fault and we can recover costs from the other party, we may also be able to arrange a replacement vehicle.\n\nFull details of courtesy car entitlement are included in your policy documents. If you would like us to check your specific cover, please let us know.\n\nKind regards,\n[Agent Name]\nCustomer Services"
