id,category,email_subject,email_body,ideal_reply
1,claim,"Car accident claim","Hi, I was involved in a minor car accident yesterday. No one was injured but my rear bumper is badly damaged. I have a comprehensive policy with you. Can you tell me how to start a claim and whether I need to pay an excess?","Dear [Customer Name],\n\nThank you for getting in touch and I am sorry to hear about your recent accident. Based on the information you have provided, you can start your claim online through your policy portal or by calling our dedicated claims line on [number]. Please have your policy number, the date and time of the incident, and details of any other drivers involved to hand.\n\nUnder most comprehensive policies an excess is payable; the exact amount will be shown in your policy schedule. This amount will normally be deducted from any settlement we make to you. Once your claim is logged, our team will arrange for an approved repairer to assess and repair the damage.\n\nIf you have any questions while you are submitting the claim, please let us know and we will be happy to help.\n\nKind regards,\n[Agent Name]\nClaims Team"
2,claim,"Windscreen damage","Hello, a stone hit my windscreen on the motorway and there is now a crack across the driver side. Is this covered under my policy, and will it affect my no claims discount?","Dear [Customer Name],\n\nThank you for contacting us about the damage to your windscreen. If you have windscreen cover on your policy, repairs and replacements are typically covered, subject to the policy excess. You can arrange a repair or replacement directly with our approved glass partner using the contact details in your policy documents.\n\nIn most cases, a windscreen claim does not affect your no claims discount, but this can vary depending on your cover. You will find the specific terms in your schedule and policy wording. If you would like, we can review your policy and confirm the impact before you proceed.\n\nKind regards,\n[Agent Name]\nCustomer Services"
3,complaint,"Unhappy with claim decision","I recently submitted a claim after my car was broken into and some personal items were stolen. I have just received a decision saying the items are not covered. I am very unhappy with this and would like to challenge the decision.","Dear [Customer Name],\n\nThank you for your message and I am sorry to hear that you are unhappy with the outcome of your recent claim. We understand how frustrating this situation is and appreciate you taking the time to share your concerns.\n\nI have logged your email as a complaint and will arrange for your claim to be reviewed by a senior claims handler. They will look again at your policy cover and the details of the incident. We will provide you with a written response explaining our findings and the reasons for any decision.\n\nYou will receive an acknowledgement of your complaint shortly, along with information about our complaints process and your right to refer the matter to the Financial Ombudsman Service if you remain dissatisfied.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
4,complaint,"Premium increase","My renewal quote has increased by more than 30% compared to last year, even though I haven't had any claims or changes to my circumstances. This is unacceptable and I would like an explanation.","Dear [Customer Name],\n\nThank you for getting in touch and for your continued custom. I am sorry to hear that you are unhappy with your renewal premium and I understand your concerns about the increase.\n\nInsurance premiums can change for a number of reasons, including updates to our pricing, wider market conditions and changes in the overall level of risk we see for similar policies. However, we appreciate that a significant increase can be surprising, especially when your circumstances have not changed.\n\nI have arranged for a member of our team to review your renewal in detail and check whether there are any alternative options or levels of cover that may better suit your needs. We will contact you as soon as this review is complete to discuss the outcome.\n\nKind regards,\n[Agent Name]\nCustomer Services"
5,renewal,"Renewal date query","Hi, I think my car insurance is due for renewal soon but I can't find the email. When does my policy end and how do I check my renewal price?","Dear [Customer Name],\n\nThank you for your email. I can confirm that your policy is due for renewal on [renewal date]. We normally send your renewal documents by email or post at least 21 days before the renewal date.\n\nYou can view your renewal premium and documents at any time by logging into your online account or via our mobile app. If you are unable to access your account, please let us know and we can resend your documents or help you reset your login details.\n\nIf you have any questions about your renewal or would like to discuss your cover, we will be happy to help.\n\nKind regards,\n[Agent Name]\nCustomer Services"
6,renewal,"Auto-renewal opt out","I have just noticed that my policy is set to automatically renew, but I would prefer to shop around first. How can I turn off auto-renewal so that my policy just ends on the renewal date?","Dear [Customer Name],\n\nThank you for getting in touch. If you prefer that your policy does not renew automatically, we can remove the auto-renewal option for you.\n\nPlease confirm that you would like us to switch off auto-renewal on your policy. Once this is done, your cover will end at 23:59 on your renewal date unless you contact us to renew. We will still send your renewal quote so that you can compare it with other offers.\n\nPlease remember that you must have continuous insurance in place if you intend to keep your vehicle on the road. If you decide not to renew with us, please ensure you arrange alternative cover to start from the day after your policy ends.\n\nKind regards,\n[Agent Name]\nCustomer Services"
7,policy_change,"Change of address","I've moved house this week and need to update my address on my car insurance policy. Will this change my premium and how do I make the update?","Dear [Customer Name],\n\nCongratulations on your move and thank you for letting us know. It is important that we hold your correct address on your policy so that your cover remains valid.\n\nYou can update your address quickly by logging into your online account or by calling our customer service team. When you make this change, we will recalculate your premium based on your new address and advise you of any change to your price. There may also be an administration fee for making a mid-term adjustment, as outlined in your policy documents.\n\nIf you would like, we can make the change for you and confirm any cost before it is applied.\n\nKind regards,\n[Agent Name]\nCustomer Services"
8,policy_change,"Adding a named driver","I'd like to add my partner as a named driver on my policy. What information do you need and will it increase my premium?","Dear [Customer Name],\n\nThank you for your email. We can certainly look at adding your partner as a named driver on your policy.\n\nTo provide an accurate quote, we will need their full name, date of birth, occupation, driving licence type, length of licence, any claims or convictions, and details of the vehicles they regularly drive. Once we have this information, we will recalculate your premium and confirm any change in price before you decide whether to go ahead.\n\nPlease be aware that adding a driver can increase or decrease your premium depending on their driving history and risk profile.\n\nKind regards,\n[Agent Name]\nCustomer Services"
9,general_query,"No claims discount proof","I am switching to a different insurer and they have asked for proof of my no claims discount. How can I get a copy of this from you?","Dear [Customer Name],\n\nThank you for getting in touch. We can provide proof of your no claims discount once your policy has been cancelled or has come to an end.\n\nWe normally send your proof of no claims discount automatically within a few days of your policy ending, either by email or post. If you need it sooner or have not received it, please let us know and we can arrange to resend the document to your preferred email address.\n\nIf your new insurer has specific requirements for the format, please share these with us so we can ensure the document meets their needs.\n\nKind regards,\n[Agent Name]\nCustomer Services"
10,general_query,"Payment date change","Is it possible to change the date my monthly direct debit is taken? It currently goes out just before payday and sometimes causes me to go overdrawn.","Dear [Customer Name],\n\nThank you for your message. We understand that managing payment dates is important and we will do our best to help.\n\nIn many cases, it is possible to change the date of your monthly direct debit. The dates available may depend on when your policy started and your current payment schedule. Please let us know your preferred date and we will confirm whether it is available and when the change would take effect.\n\nPlease note that a change in payment date may result in one slightly higher or lower instalment to realign your schedule, but your overall premium will remain the same.\n\nKind regards,\n[Agent Name]\nCustomer Services"
